UniProt ID,Gene,Protein name
P54922,ADPRH,[Protein ADP-ribosylarginine] hydrolase
Q15118,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"
Q15119,PDK2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial"
Q9P0J1,PDP1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial"
Q9NUQ2,AGPAT5,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon
Q8WTS1,ABHD5,1-acylglycerol-3-phosphate O-acyltransferase ABHD5
Q9NST1,PNPLA3,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3
Q8NF37,LPCAT1,1-acylglycerophosphocholine O-acyltransferase 1
Q96QU6,ACCS,1-aminocyclopropane-1-carboxylate synthase-like protein 1
Q8NCC3,PLA2G15,1-O-acylceramide synthase
Q9Y2I7,PIKFYVE,1-phosphatidylinositol 3-phosphate 5-kinase
Q9NQ66,PLCB1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1"
Q8N3E9,PLCD3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3"
Q9BRC7,PLCD4,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4"
Q4KWH8,PLCH1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1"
P19174,PLCG1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"
P16885,PLCG2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"
P51178,PLCD1,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-1"
Q9BV57,ADI1,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"
Q04446,GBE1,"1,4-alpha-glucan branching enzyme"
P61604,HSPE1,"10 kDa heat shock protein, mitochondrial"
O75891,ALDH1L1,10-formyltetrahydrofolate dehydrogenase
Q15029,EFTUD2,116 kDa U5 small nuclear ribonucleoprotein component
Q9NRX4,PHPT1,14 kDa phosphohistidine phosphatase
P31946,YWHAB,14-3-3 protein beta/alpha
P31946,YWHAB,14-3-3 protein beta/alpha
P62258,YWHAE,14-3-3 protein epsilon
Q04917,YWHAH,14-3-3 protein eta
Q04917,YWHAH,14-3-3 protein eta
P61981,YWHAG,14-3-3 protein gamma
P61981,YWHAG,14-3-3 protein gamma
P31947,SFN,14-3-3 protein sigma
P27348,YWHAQ,14-3-3 protein theta
P63104,YWHAZ,14-3-3 protein zeta/delta
O60613,SELENOF,15 kDa selenoprotein
P15428,HPGD,15-hydroxyprostaglandin dehydrogenase [NAD(+)]
Q9BPX1,HSD17B14,17-beta-hydroxysteroid dehydrogenase 14
O14756,HSD17B6,17-beta-hydroxysteroid dehydrogenase type 6
Q9C0C2,TNKS1BP1,182 kDa tankyrase 1-binding protein
Q9BQC3,DPH2,2-(3-amino-3-carboxypropyl)histidine synthase subunit 2
Q05823,RNASEL,2-5A-dependent ribonuclease
Q3SYC2,MOGAT2,2-acylglycerol O-acyltransferase 2
Q8TDX5,ACMSD,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase
O75600,GCAT,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial"
Q96SZ5,ADO,2-aminoethanethiol dioxygenase
Q9UJ83,HACL1,2-hydroxyacyl-CoA lyase 1
A1L0T0,ILVBL,2-hydroxyacyl-CoA lyase 2
Q5HYK3,COQ5,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"
Q6N063,OGFOD2,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2
Q9ULD0,OGDHL,"2-oxoglutarate dehydrogenase-like, mitochondrial"
P12694,BCKDHA,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"
Q8TE99,PXYLP1,2-phosphoxylose phosphatase 1
