UniProt ID	Gene	Protein name
P54922	ADPRH	[Protein ADP-ribosylarginine] hydrolase
Q15118	PDK1	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"
Q15119	PDK2	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial"
Q9P0J1	PDP1	"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial"
Q8WTS1	ABHD5	1-acylglycerol-3-phosphate O-acyltransferase ABHD5
Q9NQ66	PLCB1	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1"
Q8N3E9	PLCD3	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3"
P19174	PLCG1	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"
P16885	PLCG2	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"
P51178	PLCD1	"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-1"
Q9BV57	ADI1	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"
P61604	HSPE1	"10 kDa heat shock protein, mitochondrial"
Q9NRX4	PHPT1	14 kDa phosphohistidine phosphatase
P31946	YWHAB	14-3-3 protein beta/alpha
P31946	YWHAB	14-3-3 protein beta/alpha
P62258	YWHAE	14-3-3 protein epsilon
Q04917	YWHAH	14-3-3 protein eta
Q04917	YWHAH	14-3-3 protein eta
P61981	YWHAG	14-3-3 protein gamma
P61981	YWHAG	14-3-3 protein gamma
P31947	SFN	14-3-3 protein sigma
P27348	YWHAQ	14-3-3 protein theta
P63104	YWHAZ	14-3-3 protein zeta/delta
O60613	SELENOF	15 kDa selenoprotein
P15428	HPGD	15-hydroxyprostaglandin dehydrogenase [NAD(+)]
Q9BPX1	HSD17B14	17-beta-hydroxysteroid dehydrogenase 14
Q9BQC3	DPH2	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2
Q9UJ83	HACL1	2-hydroxyacyl-CoA lyase 1
Q5HYK3	COQ5	"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"
Q8TE99	PXYLP1	2-phosphoxylose phosphatase 1
Q16698	DECR1	"2,4-dienoyl-CoA reductase, mitochondrial"
P00973	OAS1	2'-5'-oligoadenylate synthase 1
Q15646	OASL	2'-5'-oligoadenylate synthetase like protein
O43598	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
P09543	CNP	"2',3'-cyclic-nucleotide 3'-phosphodiesterase"
P17980	PSMC3	26S protease regulatory subunit 6A
P62195	PSMC5	26S protease regulatory subunit 8
O75832	PSMD10	26S proteasome non-ATPase regulatory subunit 10
O00231	PSMD11	26S proteasome non-ATPase regulatory subunit 11
P55036	PSMD4	26S proteasome non-ATPase regulatory subunit 4
Q16401	PSMD5	26S proteasome non-ATPase regulatory subunit 5
Q15008	PSMD6	26S proteasome non-ATPase regulatory subunit 6
P51665	PSMD7	26S proteasome non-ATPase regulatory subunit 7
O00233	PSMD9	26S proteasome non-ATPase regulatory subunit 9
Q13442	PDAP1	28 kDa heat- and acid-stable phosphoprotein
O60783	MRPS14	"28S ribosomal protein S14, mitochondrial"
Q15125	EBP	"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase"
P04035	HMGCR	3-hydroxy-3-methylglutaryl-coenzyme A reductase
Q99714	HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2
P46952	HAAO	"3-hydroxyanthranilate 3,4-dioxygenase"
Q9BUT1	BDH2	3-hydroxybutyrate dehydrogenase type 2
P31937	HIBADH	"3-hydroxyisobutyrate dehydrogenase, mitochondrial"
Q6NVY1	HIBCH	"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
P56937	HSD17B7	3-keto-steroid reductase:Cytoplasmic domain
P56937	HSD17B7	3-keto-steroid reductase:Extracellular domain (partial)
