Panel Name,Batch Size,Sequencing Kit,Sequencing Qty per Batch,Panel type,Product Name
Cardiometabolic I,88,Olink_Sequencing_NovaSeq6000_100_SR_SP,0.501,Combinable,Library Preparation_Olink Explore 384 -(single)
Cardiometabolic II,88,Olink_Sequencing_NovaSeq6000_100_SR_SP,0.501,Combinable,Library Preparation_Olink Explore 384 -(single)
Inflammation I,88,Olink_Sequencing_NovaSeq6000_100_SR_SP,0.501,Combinable,Library Preparation_Olink Explore 384 -(single)
Inflammation II,88,Olink_Sequencing_NovaSeq6000_100_SR_SP,0.501,Combinable,Library Preparation_Olink Explore 384 -(single)
Neurology I,88,Olink_Sequencing_NovaSeq6000_100_SR_SP,0.501,Combinable,Library Preparation_Olink Explore 384 -(single)
Neurology II,88,Olink_Sequencing_NovaSeq6000_100_SR_SP,0.501,Combinable,Library Preparation_Olink Explore 384 -(single)
Oncology I,88,Olink_Sequencing_NovaSeq6000_100_SR_SP,0.501,Combinable,Library Preparation_Olink Explore 384 -(single)
Oncology II,88,Olink_Sequencing_NovaSeq6000_100_SR_SP,0.501,Combinable,Library Preparation_Olink Explore 384 -(single)
Reveal,86,Olink_Sequencing_NovaSeq6000_100_SR_SP,0.501,Standalone,Library Preparation_Olink Explore Reveal -(single)
Target 48 -Cytokinin,40,None,0.501,Combinable,Target 48
Target 48 -Immuno,40,None,0.501,Combinable,Target 48
Target 96,88,None,0.501,Combinable,Target 96
Flex,40,None,0.501,Combinable,Flex
Focus,120,None,0.501,Combinable,Focus
Explore HT (86),86,Olink_Sequencing_NovaSeq6000_35_SR_S4,0.501,Standalone,Library Preparation_Olink Explore HT (86)
