UniProt ID,Gene,Protein name
P24385,CCND1,G1/S-specific cyclin-D1
Q8N2Z9,CENPS,Centromere protein S
P11308,ERG,Transcriptional regulator ERG
Q9UI08,EVL,Ena/VASP-like protein
Q9UH90,FBXO40,F-box only protein 40
P57764,GSDMD,Gasdermin-D
Q9UQL6,HDAC5,Histone deacetylase 5
P01574,IFNB1,Interferon beta
K9M1U5,IFNL4,Interferon lambda-4
Q14626,IL11RA,Interleukin-11 receptor subunit alpha
Q5VVH5,IRAK1BP1,Interleukin-1 receptor-associated kinase 1-binding protein 1
Q08493,PDE4C,3'
A5LHX3,PSMB11,Proteasome subunit beta type-11
Q9Y572,RIPK3,Receptor-interacting serine/threonine-protein kinase 3
Q8IUD6,RNF135,E3 ubiquitin-protein ligase RNF135
P62987,UBA52,Ubiquitin-ribosomal protein eL40 fusion protein
Q96LR5,UBE2E2,Ubiquitin-conjugating enzyme E2 E2
P08319,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4
O43823,AKAP8,A-kinase anchor protein 8
Q9UM73,ALK,ALK tyrosine kinase receptor
Q92974,ARHGEF2,Rho guanine nucleotide exchange factor 2
P18846,ATF1,Cyclic AMP-dependent transcription factor ATF-1
P61421,ATP6V0D1,V-type proton ATPase subunit d 1
P56817,BACE1,Beta-secretase 1
Q6UXG8,BTNL9,Butyrophilin-like protein 9
Q49A92,C8orf34,Uncharacterized protein C8orf34
A8K4G0,CD300LB,CMRF35-like molecule 7
P17676,CEBPB,CCAAT/enhancer-binding protein beta
P20309,CHRM3,Muscarinic acetylcholine receptor M3
Q9Y4C5,CHST2,Carbohydrate sulfotransferase 2
P09496,CLTA,Clathrin light chain A
Q9NQC7,CYLD,Ubiquitin carboxyl-terminal hydrolase CYLD
Q9NR30,DDX21,Nucleolar RNA helicase 2
Q8IY21,DDX60,Probable ATP-dependent RNA helicase DDX60
Q9H2U1,DHX36,ATP-dependent DNA/RNA helicase DHX36
Q13409,DYNC1I2,Cytoplasmic dynein 1 intermediate chain 2
Q9BQ95,ECSIT,Evolutionarily conserved signaling intermediate in Toll pathway
P24530,EDNRB,Endothelin receptor type B
P17677,GAP43,Neuromodulin
Q9H0R5,GBP3,Guanylate-binding protein 3
P35367,HRH1,Histamine H1 receptor
P06239,LCK,Tyrosine-protein kinase Lck
P29376,LTK,Leukocyte tyrosine kinase receptor
Q9Y5Q3,MAFB,Transcription factor MafB
Q9BPZ7,MAPKAP1,Target of rapamycin complex 2 subunit MAPKAP1
Q06413,MEF2C,Myocyte-specific enhancer factor 2C
Q13126,MTAP,S-methyl-5'-thioadenosine phosphorylase
Q12965,MYO1E,Unconventional myosin-Ie
Q6ZNJ1,NBEAL2,Neurobeachin-like protein 2
A8MVU1_P14598,NCF1C_NCF1,Neutrophil cytosol factor 1/1C
O14931,NCR3,Natural cytotoxicity triggering receptor 3
P12004,PCNA,Proliferating cell nuclear antigen
P19174,PLCG1,1-phosphatidylinositol 4
O60260,PRKN,E3 ubiquitin-protein ligase parkin
Q06124,PTPN11,Tyrosine-protein phosphatase non-receptor type 11
Q15678,PTPN14,Tyrosine-protein phosphatase non-receptor type 14
Q63HN8,RNF213,E3 ubiquitin-protein ligase RNF213
