UniProt ID,Gene,Protein name,
A0FGR8,ESYT2,Extended synaptotagmin-2,
A0JNW5,BLTP3B,Bridge-like lipid transfer protein family member 3B,
A1A4S6,ARHGAP10,Rho GTPase-activating protein 10,
A1A5D9,BICDL2,BICD family-like cargo adapter 2,
A1E959,ODAM,Odontogenic ameloblast-associated protein,
A1KZ92,PXDNL,Probable oxidoreductase PXDNL,
A1L390,PLEKHG3,Pleckstrin homology domain-containing family G member 3,
A1L4H1,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,
A1L4K1,FSD2,Fibronectin type III and SPRY domain-containing protein 2,
A1X283,SH3PXD2B,SH3 and PX domain-containing protein 2B,
A1YPR0,ZBTB7C,Zinc finger and BTB domain-containing protein 7C,
A1Z1Q3,MACROD2,ADP-ribose glycohydrolase MACROD2,
A2A288,ZC3H12D,Probable ribonuclease ZC3H12D,
A2A2Z9,ANKRD18B,Ankyrin repeat domain-containing protein 18B,
A2A3L6,TTC24,Tetratricopeptide repeat protein 24,
A2PYH4,HFM1,Probable ATP-dependent DNA helicase HFM1,
A2RTX5,TARS3,Threonine--tRNA ligase 2,
A2RU37,LINC02872,Uncharacterized protein encoded by LINC02872,
A2RU48,SMCO3,Single-pass membrane and coiled-coil domain-containing protein 3,
A2RUB1,MEIOC,Meiosis-specific coiled-coil domain-containing protein MEIOC,
A2RUB6,CCDC66,Coiled-coil domain-containing protein 66,
A2RUC4,TYW5,tRNA wybutosine-synthesizing protein 5,
A2VCK2,DCDC2B,Doublecortin domain-containing protein 2B,
A2VDF0,FUOM,Fucose mutarotase,
A2VDJ0,TMEM131L,Transmembrane protein 131-like,
A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8,
A4D161,FAM221A,Protein FAM221A,
A4D1B5,GSAP,Gamma-secretase-activating protein,
A4D1P6,WDR91,WD repeat-containing protein 91,
A4D1S5,RAB19,Ras-related protein Rab-19,
A4D2B0,MBLAC1,Metallo-beta-lactamase domain-containing protein 1,
A4FU49,SH3D21,SH3 domain-containing protein 21,
A4UGR9,XIRP2,Xin actin-binding repeat-containing protein 2,
A5D8W1,CFAP69,Cilia- and flagella-associated protein 69,
A5LHX3,PSMB11,Proteasome subunit beta type-11,
A5PL33,KRBA1,Protein KRBA1,
A5PLL1,ANKRD34B,Ankyrin repeat domain-containing protein 34B,
A6BM72,MEGF11,Multiple epidermal growth factor-like domains protein 11,
A6H8M9,CDHR4,Cadherin-related family member 4,
A6NC86,PINLYP,phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein,
A6NC98,CCDC88B,Coiled-coil domain-containing protein 88B,
A6NCE7,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,
A6NCF6,MAGEA13P,Putative MAGE domain-containing protein MAGEA13P,
A6NCM1,IQCA1L,IQ and AAA domain-containing protein 1-like,
A6NDA9,LRIT2,Leucine-rich repeat,
A6NDB9,PALM3,Paralemmin-3,
A6NDU8,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,
A6NDY2,FAM90A10,Putative protein FAM90A10,
A6NE01,FAM186A,Protein FAM186A,
A6NEE1,PLEKHD1,Pleckstrin homology domain-containing family D member 1,
A6NEL2,SOWAHB,Ankyrin repeat domain-containing protein SOWAHB,
A6NES4,MROH2A,Maestro heat-like repeat-containing protein family member 2A,
A6NEV1,PRR23A,Proline-rich protein 23A,
A6NEY8,PRORSD1P,Putative prolyl-tRNA synthetase associated domain-containing protein 1,
A6NFE2,SMCO2,Single-pass membrane and coiled-coil domain-containing protein 2,
A6NFE3,EFCAB10,EF-hand calcium-binding domain-containing protein 10,
A6NFN3,RBFOX3,RNA binding protein fox-1 homolog 3,
A6NFN9,ANKUB1,Protein ANKUB1,
A6NGE7,URAD,Putative 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,
A6NGG8,PCARE,Photoreceptor cilium actin regulator,
A6NGN9,IGLON5,IgLON family member 5,
A6NGS2,ERICH4,Glutamate-rich protein 4,
A6NHC0,CAPN8,Calpain-8,
A6NHS7,MANSC4,MANSC domain-containing protein 4,
A6NI28,ARHGAP42,Rho GTPase-activating protein 42,
A6NI47,POTEM,Putative POTE ankyrin domain family member M,
A6NI73,LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,
A6NI79,CCDC69,Coiled-coil domain-containing protein 69,
A6NIN4,RNF227,RING finger protein 227,
A6NK59,ASB14,Ankyrin repeat and SOCS box protein 14,
A6NK89,RASSF10,Ras association domain-containing protein 10,
A6NKC9,SH2D7,SH2 domain-containing protein 7,
A6NLC5,C3orf70,UPF0524 protein C3orf70,
A6NLU5,VSTM2B,V-set and transmembrane domain-containing protein 2B,
A6NM11,LRRC37A2,Leucine-rich repeat-containing protein 37A2,
A6NMA1,TRPC5OS,Putative uncharacterized protein TRPC5OS,
A6NMK8,INSYN2B,Protein INSYN2B,
A6NMN3,FAM170B,Protein FAM170B,
A6NMZ2,SNTN,Sentan,
A6NMZ7,COL6A6,Collagen alpha-6(VI) chain,
A6NN73,GOLGA8CP,Golgin subfamily A member 8C,
A6NN90,C2orf81,Uncharacterized protein C2orf81,
A6NNA5,DRGX,Dorsal root ganglia homeobox protein,
A6NNL0,NUTM2B,NUT family member 2B,
A6NNP5,CCDC169,Coiled-coil domain-containing protein 169,
A6NNT2,C16orf96,Uncharacterized protein C16orf96,
A6NNZ2,TUBB8B,Tubulin beta 8B,
A6PVY3,FAM177B,Protein FAM177B,
A7E2U8,CFAP96,Cilia-and flagella-associated protein 96,
A7E2V4,ZSWIM8,Zinc finger SWIM domain-containing protein 8,
A7E2Y1,MYH7B,Myosin-7B,
A8K0R7,ZNF839,Zinc finger protein 839,
A8K4G0,CD300LB,CMRF35-like molecule 7,
A8K554,ZNF815P,Putative protein ZNF815,
A8K979,ERI2,ERI1 exoribonuclease 2,
A8MQ03,CYSRT1,Cysteine-rich tail protein 1,
A8MQ27,NEURL1B,E3 ubiquitin-protein ligase NEURL1B,
A8MQT2,GOLGA8B,Golgin subfamily A member 8B,
A8MT33,SYCE1L,Synaptonemal complex central element protein 1-like,
A8MT66,,Putative uncharacterized protein ENSP00000383407,
A8MTB9,CEACAM18,Carcinoembryonic antigen-related cell adhesion molecule 18,
A8MTL3,RNF212B,RING finger protein 212B,
A8MVW0,FAM171A2,Protein FAM171A2,
A8MVW5,HEPACAM2,HEPACAM family member 2,
A8MVX0,ARHGEF33,Rho guanine nucleotide exchange factor 33,
A8MVZ5,BTNL10P,Putative butyrophilin-like protein 10 pseudogene,
A8MW92,PHF20L1,PHD finger protein 20-like protein 1,
A8MWE9,EFCAB8,EF-hand calcium-binding domain-containing protein 8,
A8MYA2,CXorf49,,
A8MYV0,DCDC2C,Doublecortin domain-containing protein 2C,
A8MYZ0,MINDY4B,Inactive ubiquitin carboxyl-terminal hydrolase MINDY-4B,
A8MZ36,EVPLL,Envoplakin-like protein,
A9QM74,KPNA7,Importin subunit alpha-8,
A9UHW6,MIF4GD,MIF4G domain-containing protein,
B0FP48,UPK3BL1,Uroplakin-3b-like protein 1,
B0I1T2,MYO1G,Unconventional myosin-Ig,
B1AJZ9,FHAD1,Forkhead-associated domain-containing protein 1,
B1AKI9,ISM1,Isthmin-1,
B1ANS9,WDR64,WD repeat-containing protein 64,
B1ATL7,PRR32,Proline-rich protein 32,
B2RBV5,MRFAP1L2,MORF4 family associated protein 1 like 2,
B2RU33,POTEC,POTE ankyrin domain family member C,
B2RUY7,VWC2L,von Willebrand factor C domain-containing protein 2-like,
B3KU38,IQCJ-SCHIP1,IQCJ-SCHIP1 readthrough transcript protein,
B6A8C7,TARM1,T-cell-interacting,
B6SEH8,ERVV-1,Endogenous retrovirus group V member 1 Env polyprotein,
B7ZC32,KIF28P,Kinesin-like protein KIF28P,
C9J069,AJM1,Apical junction component 1 homolog,
C9J7I0,UMAD1,UBAP1-MVB12-associated (UMA)-domain containing protein 1,
C9JL84,HHLA1,HERV-H LTR-associating protein 1,
D6REC4,CFAP99,Cilia- and flagella-associated protein 99,
D6RIA3,C4orf54,Uncharacterized protein C4orf54,
E2RYF7,HCG22,Protein PBMUCL2,
E5RJ46,LINC02906,Putative uncharacterized protein LINC02906,
E9PB15,PTGES3L,Putative protein PTGES3L,
E9PIF3,NPIPA2,Nuclear pore complex-interacting protein family member A2,
E9PJ23,NPIPB6,Nuclear pore complex-interacting protein family member B6,
F5H4B4,FAM227A,Protein FAM227A,
H3BUK9,POTEB2,POTE ankyrin domain family member B2,
I3L3R5,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,
K9M1U5,IFNL4,Interferon lambda-4,
O00141,SGK1,Serine/threonine-protein kinase Sgk1,
O00144,FZD9,Frizzled-9,
