UniProt ID,Gene,Protein name
O54824,IL16,Pro-interleukin-16
O88430,CCL22,C-C motif chemokine 22
P01573,IFNA2,Interferon alpha-2
P01580,IFNG,Interferon gamma
P01582,IL1A,Interleukin-1 alpha
P01586,IL3,Interleukin-3
P01587,CSF2,Granulocyte-macrophage colony-stimulating factor
P04351,IL2,Interleukin-2
P04401,IL5,Interleukin-5
P06804,TNF,Tumor necrosis factor
P07141,CSF1,Macrophage colony-stimulating factor 1
P07750,IL4,Interleukin-4
P08505,IL6,Interleukin-6
P09793,CTLA4,Cytotoxic T-lymphocyte protein 4
P09920,CSF3,Granulocyte colony-stimulating factor
P10148,CCL2,C-C motif chemokine 2
P10168,IL7,Interleukin-7
P10749,IL1B,Interleukin-1 beta
P10889,CXCL2,C-X-C motif chemokine 2
P12850,CXCL1,Growth-regulated alpha protein
P14097,CCL4,C-C motif chemokine 4
P15247,IL9,Interleukin-9
P18340,CXCL9,C-X-C motif chemokine 9
P18893,IL10,Interleukin-10
P30882,CCL5,C-C motif chemokine 5
P40224,CXCL12,Stromal cell-derived factor 1
P43431_P43432,IL12A_IL12B,Interleukin-12 subunit alpha_Interleukin-12 subunit beta
P48298,CCL11,Eotaxin
Q08048,HGF,Hepatocyte growth factor
Q4VK74,IFNL2,Interferon lambda-2
Q62386,IL17A,Interleukin-17A
Q62401,CCL12,C-C motif chemokine 12
Q6EAL8,IL31,Interleukin-31
Q7TNI7,IL17F,Interleukin-17F
Q8BVZ5,IL33,Interleukin-33
Q8K3I6,IL27,Interleukin-27 subunit alpha
Q9EP73,CD274,Programmed cell death 1 ligand 1
Q9ES17,IL21,Interleukin-21
Q9JHH5,CXCL11,C-X-C motif chemokine 11
Q9JJN1,FGF21,Fibroblast growth factor 21
Q9JJY9,IL22,Interleukin-22
Q9WUZ6,CCL17,C-C motif chemokine
Q9WUL5,PDCD1LG2,Programmed cell death 1 ligand 2
